GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	SPÖ	ÖVP	FPÖ	GRÜNE	NEOS	PILZ	GILT	FLÖ	KPÖ	WEIßE	SLP	EUAUS	M	CPÖ	NBZ	ODP
10914	Mischendorf	1376	1057	1043	14	373	382	248	6	16	12	3	1	2	0	0	0	0	0	0	0
10915	Oberdorf im Burgenland	843	664	658	6	248	173	210	3	8	9	1	0	5	1	0	0	0	0	0	0
10916	Oberschützen	1897	1426	1411	15	353	485	431	38	41	46	11	3	3	0	0	0	0	0	0	0
10917	Oberwart	5650	3791	3756	35	1171	1130	1063	83	142	113	29	7	14	4	0	0	0	0	0	0
10918	Pinkafeld	4417	3104	3072	32	948	744	1065	79	119	81	16	7	12	1	0	0	0	0	0	0
10919	Rechnitz	2433	1752	1723	29	607	452	584	13	32	31	2	0	2	0	0	0	0	0	0	0
10920	Riedlingsdorf	1335	993	982	11	371	199	350	12	21	16	8	1	3	1	0	0	0	0	0	0
10921	Rotenturm an der Pinka	1149	915	904	11	353	269	228	5	14	18	8	0	8	1	0	0	0	0	0	0
10922	Schachendorf	564	451	448	3	106	204	96	14	11	11	1	0	5	0	0	0	0	0	0	0
10923	Stadtschlaining	1646	1203	1190	13	460	346	325	6	19	29	2	1	2	0	0	0	0	0	0	0
10924	Unterkohlstätten	861	692	686	6	254	264	131	8	9	8	2	9	1	0	0	0	0	0	0	0
10925	Unterwart	696	526	520	6	157	194	137	5	10	14	1	1	1	0	0	0	0	0	0	0
10926	Weiden bei Rechnitz	695	543	541	2	143	208	153	10	9	13	1	1	3	0	0	0	0	0	0	0
10927	Wiesfleck	967	749	746	3	204	256	245	4	8	14	12	0	2	1	0	0	0	0	0	0
10928	Wolfau	1108	870	862	8	220	299	275	10	27	21	4	0	3	3	0	0	0	0	0	0
10929	Neustift an der Lafnitz	643	519	513	6	167	133	171	5	22	9	6	0	0	0	0	0	0	0	0	0
10930	Jabing	594	486	480	6	151	152	129	12	20	11	4	0	1	0	0	0	0	0	0	0
10931	Badersdorf	244	200	195	5	57	88	46	0	0	3	1	0	0	0	0	0	0	0	0	0
10932	Schandorf	215	157	156	1	68	54	31	0	2	1	0	0	0	0	0	0	0	0	0	0
10999	Wahlkarten - Oberwart	0	3525	3495	30	1176	1091	726	145	146	141	37	1	27	5	0	0	0	0	0	0
20000	Kärnten	440193	345354	340788	4566	99923	91458	108215	8249	14692	12298	3097	466	1712	678	0	0	0	0	0	0
20099	Wahlkarten - Kärnten	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2A000	Klagenfurt	121194	94029	92902	1127	27426	25420	25518	3158	4917	4574	954	135	614	186	0	0	0	0	0	0
2A099	Wahlkarten - Klagenfurt	0	605	582	23	159	152	72	49	77	56	9	0	8	0	0	0	0	0	0	0
2B000	Villach	96359	75608	74666	942	23894	17411	23813	1852	3265	2907	867	93	398	166	0	0	0	0	0	0
2B099	Wahlkarten - Villach	0	423	422	1	104	98	89	32	55	34	5	0	3	2	0	0	0	0	0	0
2C000	Kärnten West	100894	79622	78511	1111	20944	23224	26250	1562	3149	2215	634	113	271	149	0	0	0	0	0	0
2C099	Wahlkarten - Kärnten West	0	385	382	3	89	119	50	21	51	38	6	1	6	1	0	0	0	0	0	0
2D000	Kärnten Ost	121746	96095	94709	1386	27659	25403	32634	1677	3361	2602	642	125	429	177	0	0	0	0	0	0
2D099	Wahlkarten - Kärnten Ost	0	355	351	4	98	97	71	14	38	25	3	0	5	0	0	0	0	0	0	0
20100	Klagenfurt(Stadt)	73972	55675	55079	596	16446	14723	14568	2108	3094	2945	591	93	405	106	0	0	0	0	0	0
20101	Klagenfurt am Wörthersee	73972	48330	47782	548	14320	12497	13257	1646	2570	2470	512	84	341	85	0	0	0	0	0	0
20199	Wahlkarten - Klagenfurt(Stadt)	0	7345	7297	48	2126	2226	1311	462	524	475	79	9	64	21	0	0	0	0	0	0
20200	Villach(Stadt)	44782	34095	33707	388	10927	7683	10323	914	1637	1484	419	44	196	80	0	0	0	0	0	0
20201	Villach	44782	30317	29956	361	9657	6696	9608	683	1378	1288	373	38	167	68	0	0	0	0	0	0
20299	Wahlkarten - Villach(Stadt)	0	3778	3751	27	1270	987	715	231	259	196	46	6	29	12	0	0	0	0	0	0
20300	Hermagor	14827	12239	12033	206	3410	4307	3157	256	433	299	90	14	45	22	0	0	0	0	0	0
20302	Dellach	1022	705	692	13	180	283	178	10	24	10	2	2	2	1	0	0	0	0	0	0
20305	Hermagor-Pressegger See	5487	3878	3822	56	1227	1162	1065	71	132	120	19	6	15	5	0	0	0	0	0	0
20306	Kirchbach	2160	1478	1456	22	324	552	483	16	41	19	16	0	4	1	0	0	0	0	0	0
20307	Kötschach-Mauthen	2746	1864	1820	44	494	699	472	32	56	46	13	3	3	2	0	0	0	0	0	0
20316	St. Stefan im Gailtal	1308	934	921	13	335	282	247	10	19	19	5	0	0	4	0	0	0	0	0	0
20320	Gitschtal	992	695	680	15	181	199	226	15	35	12	11	0	1	0	0	0	0	0	0	0
20321	Lesachtal	1112	783	763	20	128	458	128	11	17	12	5	0	2	2	0	0	0	0	0	0
20399	Wahlkarten - Hermagor	0	1902	1879	23	541	672	358	91	109	61	19	3	18	7	0	0	0	0	0	0
20400	Klagenfurt Land	47222	37749	37241	508	10821	10545	10878	1001	1746	1573	354	42	201	80	0	0	0	0	0	0
20402	Ebenthal in Kärnten	6287	4409	4345	64	1411	985	1520	69	148	139	44	5	17	7	0	0	0	0	0	0
20403	Feistritz im Rosental	1998	1342	1323	19	507	316	337	28	52	55	13	1	11	3	0	0	0	0	0	0
20405	Ferlach	5601	3901	3835	66	1336	791	1265	92	134	157	35	1	15	9	0	0	0	0	0	0
20409	Grafenstein	2323	1602	1574	28	344	528	544	23	68	42	14	0	6	5	0	0	0	0	0	0
20412	Keutschach am See	1960	1351	1336	15	400	375	345	42	79	66	18	2	6	3	0	0	0	0	0	0
20414	Köttmannsdorf	2336	1758	1729	29	495	505	512	44	68	74	10	2	12	7	0	0	0	0	0	0
20415	Krumpendorf am Wörthersee	2686	1790	1771	19	386	638	374	83	164	92	15	2	15	2	0	0	0	0	0	0
20416	Ludmannsdorf	1481	1056	1051	5	347	271	291	35	38	47	12	0	8	2	0	0	0	0	0	0
20417	Maria Rain	1969	1393	1368	25	325	411	401	36	91	72	17	7	5	3	0	0	0	0	0	0
20418	Maria Saal	3140	2214	2182	32	583	660	620	67	108	112	15	4	10	3	0	0	0	0	0	0
20419	Maria Wörth	1272	770	764	6	162	289	158	29	59	47	12	0	6	2	0	0	0	0	0	0
